Month,2024,2025
January,101.2,101.4
February,99.3,100.1
March,99.8,100.5
April,100.6,100.5
May,99.2,100.3
June,99.1,98.7
July,99.6,99.2
August,100.1,100.2
September,100.2,100.3
October,100.3,100.3
November,101.3,100.6
December,101.0,101.2
