date,Idram,Telcell,Rate.am,MoneyGram,Wildberries,List.am,Auto.am,Estate.am,վարկ,բնակարան,աշխատանք,փոխարժեք
2018-01-01,4.333333333333333,0.0,1.6666666666666667,0.0,0.0,36.666666666666664,8.0,0.0,0.3333333333333333,1.0,3.0,0.0
2018-04-01,4.0,0.3333333333333333,2.6666666666666665,0.0,0.0,26.666666666666668,6.666666666666667,0.0,0.3333333333333333,1.0,3.0,0.0
2018-07-01,4.0,0.0,2.6666666666666665,0.0,0.0,26.0,7.333333333333333,0.0,0.3333333333333333,1.3333333333333333,3.6666666666666665,0.3333333333333333
2018-10-01,4.0,0.3333333333333333,2.6666666666666665,0.0,0.0,23.333333333333332,6.333333333333333,0.0,0.6666666666666666,1.0,3.6666666666666665,0.0
2019-01-01,4.666666666666667,0.3333333333333333,2.3333333333333335,0.0,0.6666666666666666,25.333333333333332,6.0,0.0,1.0,1.3333333333333333,4.333333333333333,0.0
2019-04-01,4.333333333333333,0.0,3.3333333333333335,0.0,2.3333333333333335,29.333333333333332,6.666666666666667,0.3333333333333333,1.0,1.3333333333333333,4.666666666666667,0.0
2019-07-01,3.6666666666666665,0.6666666666666666,4.0,0.0,3.3333333333333335,26.666666666666668,7.333333333333333,0.3333333333333333,1.0,2.3333333333333335,4.0,0.0
2019-10-01,3.6666666666666665,1.3333333333333333,3.3333333333333335,0.0,6.333333333333333,26.333333333333332,6.333333333333333,0.0,1.0,1.6666666666666667,4.666666666666667,0.0
2020-01-01,3.6666666666666665,1.6666666666666667,5.333333333333333,0.0,7.0,29.333333333333332,5.0,0.0,1.0,2.0,5.0,0.3333333333333333
2020-04-01,4.333333333333333,1.0,4.333333333333333,0.0,6.333333333333333,30.666666666666668,3.6666666666666665,0.0,1.0,1.6666666666666667,5.666666666666667,1.0
2020-07-01,4.333333333333333,1.0,3.3333333333333335,0.0,6.666666666666667,35.666666666666664,4.333333333333333,0.0,1.0,2.3333333333333335,6.666666666666667,1.0
2020-10-01,4.666666666666667,1.0,4.666666666666667,0.0,9.333333333333334,25.333333333333332,2.6666666666666665,0.0,0.3333333333333333,1.3333333333333333,5.666666666666667,2.0
2021-01-01,5.0,1.0,3.6666666666666665,0.0,10.333333333333334,31.0,3.3333333333333335,0.0,1.0,2.0,6.333333333333333,1.3333333333333333
2021-04-01,4.666666666666667,1.0,3.6666666666666665,0.0,9.666666666666666,23.666666666666668,3.0,0.0,0.6666666666666666,2.0,5.666666666666667,1.3333333333333333
2021-07-01,4.666666666666667,1.0,2.6666666666666665,0.0,15.333333333333334,24.666666666666668,2.6666666666666665,0.0,1.0,3.3333333333333335,5.333333333333333,1.3333333333333333
2021-10-01,4.0,1.0,2.3333333333333335,0.0,22.0,24.0,2.6666666666666665,0.0,1.0,2.0,5.333333333333333,1.0
2022-01-01,4.333333333333333,1.0,5.666666666666667,0.3333333333333333,22.333333333333332,22.333333333333332,2.6666666666666665,0.0,1.0,2.3333333333333335,6.333333333333333,2.6666666666666665
2022-04-01,4.333333333333333,1.0,7.333333333333333,0.0,13.666666666666666,23.333333333333332,2.3333333333333335,0.0,1.0,3.0,6.666666666666667,4.333333333333333
2022-07-01,3.3333333333333335,1.0,6.333333333333333,0.0,14.0,23.333333333333332,2.3333333333333335,0.0,0.6666666666666666,2.6666666666666665,6.0,3.0
2022-10-01,3.3333333333333335,1.3333333333333333,4.333333333333333,0.0,18.666666666666668,20.0,2.0,0.0,1.0,2.3333333333333335,6.333333333333333,2.0
2023-01-01,3.0,1.0,4.333333333333333,0.0,24.0,20.666666666666668,2.0,0.0,1.0,3.0,7.0,2.0
2023-04-01,2.6666666666666665,1.0,4.0,0.0,24.333333333333332,16.0,2.0,0.0,1.0,2.3333333333333335,7.0,2.6666666666666665
2023-07-01,3.0,1.3333333333333333,4.333333333333333,0.3333333333333333,37.666666666666664,15.333333333333334,2.0,0.0,1.0,3.0,6.666666666666667,3.0
2023-10-01,2.3333333333333335,1.3333333333333333,4.666666666666667,0.0,30.0,15.333333333333334,1.3333333333333333,0.0,1.0,2.3333333333333335,7.666666666666667,3.6666666666666665
2024-01-01,2.6666666666666665,1.0,3.3333333333333335,0.0,21.0,13.333333333333334,1.3333333333333333,0.0,1.0,2.0,7.666666666666667,1.3333333333333333
2024-04-01,3.0,1.0,3.6666666666666665,0.0,19.666666666666668,11.666666666666666,1.0,0.0,1.0,2.0,7.333333333333333,1.0
2024-07-01,3.0,1.0,3.6666666666666665,0.0,19.333333333333332,12.666666666666666,1.0,0.0,1.0,2.6666666666666665,7.0,1.0
2024-10-01,3.0,2.3333333333333335,3.6666666666666665,0.0,17.666666666666668,11.0,1.0,0.0,1.0,1.6666666666666667,7.0,1.6666666666666667
2025-01-01,2.6666666666666665,2.3333333333333335,3.6666666666666665,0.0,13.666666666666666,10.0,1.0,0.0,1.0,2.0,8.333333333333334,2.0
2025-04-01,3.3333333333333335,1.0,3.0,0.0,11.666666666666666,9.0,1.0,0.0,1.0,2.0,7.0,2.0
2025-07-01,3.0,2.3333333333333335,2.6666666666666665,0.0,12.333333333333334,9.666666666666666,1.0,0.0,1.0,2.6666666666666665,7.666666666666667,1.3333333333333333
2025-10-01,3.0,1.3333333333333333,3.0,0.0,13.333333333333334,8.0,1.0,0.0,1.0,2.0,7.666666666666667,1.0
2026-01-01,2.3333333333333335,1.3333333333333333,2.3333333333333335,0.0,11.0,8.0,1.0,0.0,1.0,2.0,8.0,1.0
