date,Cash_in_Circulation_Mln_AMD,Demand_Deposits_Dram_Mln_AMD,Money_Supply_M1_Mln_AMD,Time_Deposits_Dram_Mln_AMD,Money_Supply_M2_Mln_AMD,Deposits_FX_Mln_AMD,Money_Supply_M2X_Mln_AMD,Remittance_Inflow_Mln_AMD,Remittance_Inflow_Thousand_USD,Remittance_Inflow_NonCommercial_Mln_AMD,Remittance_Inflow_NonCommercial_Thousand_USD,Remittance_Outflow_Mln_AMD,Remittance_Outflow_Thousand_USD,Remittance_Outflow_NonCommercial_Mln_AMD,Remittance_Outflow_NonCommercial_Thousand_USD,Remittance_Net_Mln_AMD,Remittance_Net_Thousand_USD
2012-11-01,360772.0458329,162690.07215596,523462.11798886,187040.37468069,710502.49266955,588276.47664351,1298778.9693131,85194.010842,209242.730873,66669.314169,163708.312384,29228.934717,71799.162617,12239.166403,30044.461378,55965.07612500001,137443.568256
2012-12-01,384065.3294649,161727.3162686,545792.6457335,192189.90780908,737982.55354258,608382.35716025,1346364.9107028,89460.493154,220608.795264,63302.429523,156060.858436,32490.325243,80097.960082,11959.533506,29468.257572,56970.167911,140510.83518199998
2013-01-01,351780.8880345,156998.17018077,508779.05821527,200378.49419402,709157.55240929,610987.18058304,1320144.7329923,45689.373492,112331.765783,32857.112071,80757.517178,24302.636575,59716.994366,7821.456997,19215.717218,21386.736917,52614.771416999996
2013-02-01,342221.9325534,168717.74352351,510939.67607691,202541.82027605,713481.49635296,633430.72526123,1346912.2216142,61232.972999,150463.637669,41056.030487,100882.36549,27197.658457,66845.66717,9081.119265,22308.991718,34035.31454199999,83617.97049899999
2013-03-01,344019.7249558,158137.03449372,502156.75944952,211288.63805766,713445.39750718,650421.26236628,1363866.6598735,65200.811495,157318.116331,49238.912725,118854.979486,26232.188189,63301.014336,10644.963144,25686.800606,38968.623306,94017.101995
2013-04-01,346048.2545803,166211.77196549,512260.02654579,215607.75862702,727867.78517281,640145.48788212,1368013.2730549,75743.972513,182054.383162,54667.240291,131437.082125,29438.013977,70747.740632,12087.766605,29057.806424,46305.958536000006,111306.64253000001
2013-05-01,353291.330401,159823.86480722,513115.19520822,214635.35291106,727750.54811928,656505.94529409,1384256.4934134,73047.293304,175683.002918,58422.827219,140492.106383,29496.782332,70931.887278,10488.482476,25222.539265,43550.510972000004,104751.11564000002
2013-06-01,351789.2555427,162354.12635284,514143.38189554,217084.66364045,731228.04553599,651889.81950944,1383117.8650454,80940.706362,195953.689487,66491.843037,160920.757934,24680.78195,59808.132095,10363.394635,25107.834637,56259.92441199999,136145.557392
2013-07-01,365148.4136348,164740.1070002,529888.520635,219026.55349556,748915.07413056,663297.95963358,1412213.0337641,101566.233676,247370.252391,83658.637191,203757.03551,28751.996795,70033.024052,10802.257069,26311.469839,72814.236881,177337.228339
2013-08-01,359178.1183603,166306.35381251,525484.47217281,220948.49061794,746432.96279075,679249.98765831,1425682.9504491,92671.095082,227464.522952,80365.43638,197270.339281,28961.525538,71079.929721,11022.089043,27053.254485,63709.569544,156384.593231
2013-09-01,355298.4211408,180856.623822,536155.0449628,224084.06946506,760239.11442786,697684.03933975,1457923.1537676,84313.067195,206441.849419,73084.145809,178934.426864,30709.385903,75208.333075,11605.181509,28423.445392,53603.681291999994,131233.516344
2013-10-01,359366.1392272,183319.80575731,542685.94498451,231080.46443491,773766.40941942,693039.23744238,1466805.6468618,90591.728485,223042.259243,79218.074258,195042.066533,33303.351935,82006.70372,12119.131422,29838.310979,57288.37655,141035.55552300002
2013-11-01,352278.790848,188504.38499641,540783.17584441,241449.50388692,782232.67973133,688405.04446785,1470637.7241992,82577.657135,203878.618404,68325.986882,168690.836022,33882.548358,83655.344693,11548.802301,28509.429246,48695.108777,120223.273711
2013-12-01,384467.4784992,198901.46213757,583368.94063677,264676.97701797,848045.91765474,697326.57861394,1545372.4962687,89301.919443,220333.405498,76109.548212,187780.210602,31939.319315,78816.51613,13959.839535,34445.674939,57362.600128000005,141516.889368
2014-01-01,338416.305418,184648.84879804,523065.15421604,270194.80934961,793259.96356565,700624.87323462,1493884.8368003,49886.346038,122505.578865,40546.699856,99576.197813,22089.543461,54231.604835,8540.085773,20962.109393,27796.802577000002,68273.97403000001
2014-02-01,330989.3889565,185371.8017065,516361.190663,275392.1841598,791753.3748228,723027.38955368,1514780.7643765,57095.121562,138716.465445,43541.743519,105777.324806,28989.355977,70416.53845,12070.120008,29320.098374,28105.765585,68299.92699500002
2014-03-01,328565.2975005,181784.22023036,510349.51773086,280998.68613736,791348.20386822,747675.1232234,1539023.3270916,66026.970257,159455.741896,52023.579673,125663.264943,32591.895792,78689.91449,12923.439472,31206.428225,33435.074465,80765.827406
2014-04-01,335125.1967114,190206.80230706,525331.99901846,281692.45807291,807024.45709137,743715.75803861,1550740.21513,69354.737631,167410.879949,55226.622036,133305.810596,29774.066822,71871.438348,12569.580316,30339.454201,39580.670808999996,95539.441601
2014-05-01,341952.5196073,191234.39819122,533186.91779852,289762.07743181,822948.99523033,753089.31076782,1576038.3059982,72673.757634,175783.638349,59698.699967,144398.373979,26401.187617,63871.450946,10630.200293,25714.658223,46272.57001699999,111912.18740299999
2014-06-01,347608.0710406,196380.01580294,543988.08684354,291526.47975108,835514.56659462,752044.41674471,1587558.9833393,77863.007099,189507.843867,67444.125672,164132.255928,27177.585296,66143.081253,11887.647385,28924.701412,50685.42180299999,123364.76261399999
2014-07-01,357687.7994584,204910.00512883,562597.80458723,296773.46129117,859371.2658784,743062.03751862,1602433.303397,95347.367897,235168.643155,78891.889888,194744.334302,35638.760569,87561.194449,12289.232772,30189.267348,59708.607328000006,147607.448706
2014-08-01,365117.5969116,191672.35375222,556789.95066382,297452.31946491,854242.27012873,750624.41705933,1604866.6871881,92692.150071,226352.57468,76049.861584,185739.426353,34896.362344,85210.606834,12171.865064,29724.837171,57795.787726999995,141141.96784599999
2014-09-01,360416.7432879,206087.1138703,566503.8571582,301341.07421789,867844.93137609,730561.61756023,1598406.5489363,83059.06824,203258.625733,69352.031286,169743.93781,31133.419233,76170.603806,10795.041443,26410.247173,51925.64900699999,127088.021927
2014-10-01,364381.8983765,210552.25659089,574934.15496739,306059.54480683,880993.69977422,745251.1283409,1626244.8281151,82334.3761,200865.915432,66245.471534,161625.38361,33519.432475,81732.859339,11538.985896,28146.587637,48814.94362499999,119133.056093
2014-11-01,346450.0013465,203639.01624287,550089.01758937,298711.65374685,848800.67133622,801893.07904986,1650693.7503861,59480.440928,141864.284279,48891.356709,116564.09532,28953.695098,69029.947123,11077.431289,26398.474671,30526.745830000003,72834.33715600001
2014-12-01,348358.9744632,182886.26186464,531245.23632784,287032.09258,818277.32890784,855918.28096268,1674195.6098705,75288.530465,162724.648822,58863.41251,127287.202507,45728.679411,97889.750938,14948.123377,32230.828138,29559.851054000006,64834.89788399999
2015-01-01,306359.4301619,170327.17560941,476686.60577131,283933.00134427,760619.60711558,853214.79621857,1613834.4033342,34290.533173,72169.493278,25778.471103,54267.329713,20998.944264,44146.050655,8294.392907,17446.35008,13291.588909000002,28023.442622999995
