forecast_date,target_quarter,horizon,forecast,interval_lo_50,interval_hi_50,interval_lo_90,interval_hi_90,selected_model,last_observed_quarter
2026-04-01,2026-Q2,1,105.44389872927677,103.20541214920928,107.68238530934426,97.6156823431779,113.27211511537564,Ridge,2026-01-01
2026-07-01,2026-Q3,2,104.44617568848653,102.00755124878178,106.88480012819129,95.61615956845213,113.27619180852093,Ridge,2026-01-01
2026-10-01,2026-Q4,3,104.2059326399734,101.56906713848527,106.84279814146153,93.71623592622657,114.69562935372022,Ridge,2026-01-01
