model,stage,n_obs,mape,mae,rmse,coverage_50,coverage_90,avg_width_50,avg_width_90
Base+Market+Google,Early,61,3.2333815697768027,3.3416606710720895,4.698666711803838,0.33962264150943394,0.7735849056603774,3.6170440569397257,13.109495886253299
Base+Market,Early,61,3.2756077515126547,3.354273035391915,4.944580970589235,0.3584905660377358,0.7924528301886793,3.6650854806572575,11.61656174713756
Base,Early,61,3.565894845426497,3.659450274839234,5.537623610294749,0.32075471698113206,0.7924528301886793,3.8735572267174554,10.876621633455615
Base+Google,Early,61,3.768241909725973,3.9113941015766036,5.878732593591647,0.33962264150943394,0.7547169811320755,3.9353426918968224,13.872417800629645
